Letter,Thumb,Index,Middle,Ring,Pinky,IndexTouch,MiddleTouch,ThumbTouch
D,0.455,0.359,0.508,0.305,0.085,0,1,1
D,0.454,0.353,0.504,0.301,0.085,0,1,1
D,0.454,0.347,0.508,0.302,0.085,0,1,1
D,0.456,0.347,0.512,0.305,0.087,0,1,1
D,0.460,0.347,0.515,0.305,0.085,0,1,1
D,0.459,0.348,0.514,0.305,0.088,0,1,1
D,0.465,0.343,0.513,0.301,0.087,0,1,1
D,0.452,0.341,0.514,0.305,0.088,0,1,1
D,0.451,0.348,0.401,0.272,0.297,0,1,1
D,0.466,0.311,0.430,0.221,0.102,0,0,0
D,0.446,0.320,0.412,0.322,0.127,0,1,1
D,0.471,0.318,0.412,0.333,0.135,0,1,1
D,0.473,0.317,0.424,0.334,0.137,0,1,1
D,0.477,0.355,0.427,0.331,0.130,0,1,1
D,0.467,0.347,0.434,0.334,0.132,0,1,1
D,0.477,0.339,0.439,0.333,0.130,0,1,1
D,0.482,0.338,0.442,0.330,0.131,0,0,1
D,0.479,0.333,0.438,0.330,0.133,0,0,1
D,0.478,0.348,0.439,0.330,0.130,0,1,1
D,0.475,0.353,0.440,0.325,0.128,0,0,1
D,0.481,0.349,0.441,0.322,0.126,0,0,1
D,0.477,0.310,0.303,0.241,0.079,0,1,1
D,0.483,0.315,0.308,0.245,0.085,0,1,1
D,0.484,0.311,0.318,0.245,0.089,0,1,1
D,0.486,0.309,0.321,0.246,0.087,0,1,1
D,0.489,0.312,0.322,0.243,0.086,0,1,1
D,0.484,0.310,0.327,0.245,0.087,0,1,1
D,0.488,0.309,0.330,0.247,0.085,0,1,1
D,0.488,0.309,0.330,0.245,0.087,0,1,1
D,0.485,0.306,0.335,0.247,0.090,0,1,1
D,0.486,0.318,0.331,0.245,0.088,0,1,1
D,0.486,0.318,0.337,0.247,0.090,0,1,1
D,0.481,0.322,0.339,0.249,0.089,0,1,1
D,0.491,0.318,0.337,0.249,0.090,0,1,1
D,0.456,0.284,0.275,0.222,0.093,0,1,1
D,0.464,0.286,0.282,0.223,0.099,0,1,1
D,0.467,0.288,0.284,0.224,0.102,0,1,1
D,0.477,0.288,0.288,0.226,0.098,0,1,1
D,0.470,0.288,0.290,0.226,0.099,0,1,1
D,0.481,0.322,0.339,0.249,0.089,0,1,1
D,0.491,0.318,0.337,0.249,0.090,0,1,1
D,0.456,0.284,0.275,0.222,0.093,0,1,1
D,0.464,0.286,0.282,0.223,0.099,0,1,1
D,0.467,0.288,0.284,0.224,0.102,0,1,1
D,0.477,0.288,0.288,0.226,0.098,0,1,1
D,0.470,0.288,0.290,0.226,0.099,0,1,1
D,0.456,0.284,0.275,0.222,0.093,0,1,1
D,0.464,0.286,0.282,0.223,0.099,0,1,1
D,0.467,0.288,0.284,0.224,0.102,0,1,1
D,0.477,0.288,0.288,0.226,0.098,0,1,1
D,0.470,0.288,0.290,0.226,0.099,0,1,1
D,0.464,0.286,0.282,0.223,0.099,0,1,1
D,0.467,0.288,0.284,0.224,0.102,0,1,1
D,0.477,0.288,0.288,0.226,0.098,0,1,1
D,0.470,0.288,0.290,0.226,0.099,0,1,1
D,0.477,0.288,0.288,0.226,0.098,0,1,1
D,0.470,0.288,0.290,0.226,0.099,0,1,1
D,0.476,0.289,0.293,0.225,0.101,0,0,1
D,0.470,0.288,0.290,0.226,0.099,0,1,1
D,0.476,0.289,0.293,0.225,0.101,0,0,1
D,0.476,0.289,0.293,0.225,0.101,0,0,1
D,0.475,0.291,0.296,0.224,0.103,0,1,1
D,0.475,0.291,0.296,0.224,0.103,0,1,1
D,0.473,0.288,0.297,0.223,0.102,0,1,1
D,0.477,0.331,0.304,0.222,0.098,0,1,1
D,0.478,0.337,0.312,0.224,0.103,0,1,1
D,0.479,0.331,0.315,0.219,0.102,0,1,1
D,0.482,0.332,0.314,0.219,0.100,0,1,1
D,0.486,0.330,0.318,0.220,0.101,0,0,1
D,0.430,0.291,0.325,0.233,0.081,0,1,1
D,0.433,0.284,0.333,0.235,0.081,0,1,1
D,0.438,0.284,0.336,0.235,0.081,0,1,1
D,0.438,0.292,0.334,0.240,0.085,0,1,1
D,0.438,0.296,0.341,0.245,0.085,0,1,1
D,0.431,0.295,0.343,0.245,0.085,0,1,1
D,0.436,0.295,0.347,0.246,0.088,0,1,1
D,0.438,0.293,0.348,0.249,0.090,0,1,1
D,0.431,0.293,0.350,0.252,0.090,0,1,1
D,0.430,0.294,0.355,0.250,0.089,0,1,1
D,0.412,0.293,0.354,0.254,0.090,0,1,1
D,0.412,0.295,0.356,0.255,0.091,0,1,1
D,0.409,0.289,0.357,0.254,0.091,0,1,1
D,0.412,0.291,0.357,0.258,0.093,0,1,1
D,0.412,0.293,0.359,0.255,0.092,0,1,1
D,0.400,0.308,0.363,0.256,0.095,0,1,1
D,0.410,0.311,0.363,0.259,0.098,0,1,1
D,0.425,0.299,0.364,0.259,0.098,0,1,1
D,0.426,0.301,0.371,0.264,0.099,0,1,1
D,0.455,0.300,0.352,0.151,0.105,0,1,1
D,0.455,0.305,0.334,0.219,0.146,0,0,1
D,0.444,0.304,0.336,0.221,0.135,0,0,1
D,0.436,0.305,0.347,0.219,0.127,0,1,1
D,0.445,0.307,0.349,0.223,0.127,0,1,1
D,0.447,0.305,0.349,0.225,0.128,0,1,1
D,0.441,0.318,0.346,0.218,0.129,0,0,1
D,0.439,0.337,0.346,0.218,0.133,0,1,1
D,0.444,0.327,0.351,0.219,0.133,0,0,0
